URL,Domain,Anchor
https://dev.oprocon.de/en/search/machinery?group=Education,dev.oprocon.de,Education
https://dev.oprocon.de/en/search/machinery?group=education&category=self+paced+training,dev.oprocon.de,Self Paced Training
https://dev.oprocon.de/en/search/machinery?group=education&category=mentoring,dev.oprocon.de,Mentoring
https://dev.oprocon.de/en/search/machinery?group=education&category=on+the+job+training,dev.oprocon.de,On the Job Training
https://dev.oprocon.de/en/search/machinery?group=education&category=university%2Fclassroom,dev.oprocon.de,University/Classroom
https://dev.oprocon.de/en/search/machinery?group=education&category=university%2Felearning,dev.oprocon.de,University/eLearning
https://dev.oprocon.de/en/search/machinery?group=education&category=webinar,dev.oprocon.de,Webinar
https://dev.oprocon.de/en/search/machinery?group=education&category=train+the+trainer,dev.oprocon.de,Train the Trainer
https://dev.oprocon.de/en/search/machinery?group=education&category=one+on+one+training,dev.oprocon.de,One on One Training
https://dev.oprocon.de/en/search/machinery?group=Human+Resource,dev.oprocon.de,Human Resource
https://dev.oprocon.de/en/search/machinery?group=human+resource&category=hiring,dev.oprocon.de,Hiring
https://dev.oprocon.de/en/search/machinery?group=human+resource&category=talent+management,dev.oprocon.de,Talent Management
https://dev.oprocon.de/en/search/machinery?group=human+resource&category=payment+systems,dev.oprocon.de,Payment Systems
https://dev.oprocon.de/en/search/machinery?group=human+resource&category=employment+law+regulations,dev.oprocon.de,Employment Law regulations
https://dev.oprocon.de/en/search/machinery?group=human+resource&category=employee+motivation,dev.oprocon.de,Employee Motivation
https://dev.oprocon.de/en/search/machinery?group=human+resource&category=wage+accounting,dev.oprocon.de,Wage accounting
https://dev.oprocon.de/en/search/machinery?group=human+resource&category=self+paced+training,dev.oprocon.de,Self Paced Training
https://dev.oprocon.de/en/search/machinery?group=Communicationn,dev.oprocon.de,Communicationn
https://dev.oprocon.de/en/search/machinery?group=communicationn&category=public+relations,dev.oprocon.de,Public Relations
https://dev.oprocon.de/en/search/machinery?group=communicationn&category=internal+communication,dev.oprocon.de,Internal Communication
https://dev.oprocon.de/en/search/machinery?group=communicationn&category=employee+information,dev.oprocon.de,Employee Information
https://dev.oprocon.de/en/search/machinery?group=communicationn&category=translation+service,dev.oprocon.de,Translation Service
https://dev.oprocon.de/en/search/machinery?group=Creativity+Technique,dev.oprocon.de,Creativity Technique
https://dev.oprocon.de/en/search/machinery?group=creativity+technique&category=problem+definition,dev.oprocon.de,Problem Definition
https://dev.oprocon.de/en/search/machinery?group=creativity+technique&category=idea+generation,dev.oprocon.de,Idea Generation
